,아파트,금액(만원),면적,층,주소
74,건영캐스빌,30400,84.64,5,부평동 252-29
68,경남1차,31100,84.43,3,산곡동 142-3
85,경남3차,29200,84.87,10,산곡동 145
89,경남3차,28900,84.87,11,산곡동 145
243,경남5차,25000,84.97,6,산곡동 261-8
29,금호이수마운트밸리,38000,84.96,2,산곡동 507
172,금호이수마운트밸리,52500,84.96,10,산곡동 507
101,대경이즈뷰,27800,84.72,10,부평동 437-2
210,대동(494-1),33800,84.94,4,부개동 494-1
73,대동(494-1),30500,84.94,12,부개동 494-1
51,대동(494-1),33000,84.94,15,부개동 494-1
43,대동(494-1),34000,84.94,12,부개동 494-1
50,대성유니드,33000,84.86,14,갈산동 454
14,대우,49500,84.44,15,부평동 65-115
33,대주파크빌,36000,84.5,3,십정동 182-95
167,더샵부평센트럴시티,72500,84.56,37,십정동 630
76,동암신동아,30000,84.94,6,십정동 607
168,래미안부평,59900,84.96,7,부평동 947
12,래미안부평,50000,84.96,5,부평동 947
13,부개주공6,49500,84.79,11,부개동 501-1
27,부개주공6,38500,84.79,4,부개동 501-1
187,"부평1,2차금호타운",40500,84.85,5,청천동 200
193,"부평1,2차금호타운",40000,84.85,6,청천동 200
169,부평산곡푸르지오,58000,84.36,11,산곡동 510
181,부평삼산엠코타운,45000,84.91,14,삼산동 494
35,부평샬레아넬리스,36000,84.98,8,산곡동 518
8,부평역화성파크드림,54000,84.82,9,부평동 995
170,부평역화성파크드림,55000,84.82,14,부평동 995
200,브라운스톤백운,37500,84.53,3,십정동 617
212,삼보,32000,84.95,9,삼산동 56-3
42,삼산벽산블루밍,34800,84.32,3,삼산동 170-1
26,삼산벽산블루밍,39000,84.32,11,삼산동 170-1
182,삼산타운2단지,45000,84.98,21,삼산동 445-5
178,삼산타운2단지,48000,84.98,20,삼산동 445-5
185,삼산타운2단지,44500,84.98,6,삼산동 445-5
173,삼산타운6단지,52500,84.07,12,삼산동 454-13
174,삼산타운6단지,52500,84.96,15,삼산동 454-13
171,삼산타운6단지,54000,84.07,7,삼산동 454-13
5,삼산타운6단지,56000,84.96,16,삼산동 454-13
11,삼산타운6단지,51000,84.96,4,삼산동 454-13
191,삼산타운7단지,40000,84.07,12,삼산동 453-1
9,삼산타운7단지,54000,84.07,10,삼산동 453-1
15,삼산타운7단지,49000,84.96,3,삼산동 453-1
176,쌍용더플래티넘부평,50200,84.82,6,산곡동 519
199,아주,37800,84.75,12,갈산동 374
202,우성4차,36000,84.97,4,산곡동 306-3
38,청천푸르지오,35400,84.34,14,청천동 176
48,청천푸르지오,33100,84.34,23,청천동 176
198,청천푸르지오,38250,84.34,11,청천동 176
54,청천푸르지오,33000,84.34,25,청천동 176
56,청천푸르지오,32900,84.34,23,청천동 176
59,청천푸르지오,32500,84.34,21,청천동 176
64,청천푸르지오,31600,84.34,3,청천동 176
213,청천푸르지오,32000,84.34,19,청천동 176
53,청천푸르지오,33000,84.34,16,청천동 176
211,풍림아파트(101동~110동),33000,84.98,8,일신동 409
188,풍림아파트(101동~110동),40000,84.98,18,일신동 409
93,하나,28500,84.75,1,갈산동 362
44,하나,34000,84.75,12,갈산동 362
45,하나,33800,84.75,4,갈산동 362
79,"한국1,동아,팬더",30000,84.36,17,갈산동 369
120,한양(155-1),25000,84.66,20,산곡동 155-1
241,한양(155-1),26000,84.66,17,산곡동 155-1
220,한양(185-17),30000,84.68,15,산곡동 185-17
28,현대(124-1),38000,84.99,13,산곡동 124-1
24,현대(124-1),40000,84.99,13,산곡동 124-1
207,현대1차,34000,84.6,12,산곡동 307
32,현대1차,36200,84.6,13,산곡동 307
201,현대3차,36000,84.94,15,산곡동 370-399
